Velocity (Spirals), Velocity (Lines),Pressure(Spirals),Pressure(Lines),Acceleration(Lines),Jerk(Lines),Jerk(Spirals),Acceleration(Spirals),No. of Time Velocity Changes(Spirals),No. of Times Velocity Changes(Lines),No. of Detected Peaks in Velocity Spectogram(Lines),No. of Detected Peaks in Velocity Spectogram(Spirals),SARIMA(Unravelled Spiral),Exponential Smoothing(Unravelled Spiral),Standard Deviation(Lines),Fractal Dimension(Lines),Approximate Entropy(Lines),Singular Value Decomposition(Lines),Spectral Entropy(Lines),Autoregression(Lines),Permutation Entropy(Lines),Standard Deviation(Spirals),Fractral Dimension(Spiral),Approximate Entropy(Spiral),Singular Value Decomposition(Spiral),Sample Entropy(Spiral),Spectral Entropy(Spiral),Permutation Entropy(Spiral),Autoregression(Spiral),Label
206.0675959,179.1202184,3783.577778,3687.856483,3068.093575,285222.217,214769.7109,2728.533408,815,876.6666667,33.5,9.2,453.0321125,536.3077475,116626.4525,1.004030609,0.060642032,0.278291703,0.45770662,437898.5785,0.316824917,116626.4525,1.004030609,0.060642032,0.04909822,0.04909822,0.45770662,0.316824917,437898.5785,Off
284.6315609,291.377731,4001.647059,4008.2335,6021.203575,500226.0471,382825.668,4998.081757,398.25,691.6666667,39.2,19,632.3364372,589.5701824,90180.02741,1.016263,0.077404893,0.286138489,0.452332156,339438.2306,0.379701509,90180.02741,1.016263,0.077404893,0.066331812,0.066331812,0.452332156,0.379701509,339438.2306,On
199.5479629,203.0526472,3550.34832,3230.659763,3340.088422,336739.9342,268950.3609,3025.761904,346,832.6666667,10.8,8.833333333,444.1534205,529.1370333,114760.5332,0.999546271,0.056991316,0.291803831,0.469670385,414800.4228,0.280022613,114760.5332,0.999546271,0.056991316,0.050004072,0.050004072,0.469670385,0.280022613,414800.4228,Off
293.5677269,357.2835614,3991.369156,3975.149399,6978.068263,546077.5157,386747.6461,5240.966273,396,816.5,53.42857143,22.125,627.0026553,595.3024441,74373.12384,1.014613571,0.143739225,0.271380358,0.436587991,280070.3371,0.3864153,74373.12384,1.014613571,0.143739225,0.129281821,0.129281821,0.436587991,0.3864153,280070.3371,Off
270.8616349,373.2037225,3958.880672,3949.078873,7933.177323,696197.5889,360482.0032,4564.631621,1696,841,46.52173913,22.66666667,543.320292,590.0593191,73663.51005,1.034699589,0.14953625,0.289131689,0.451474031,282179.6351,0.459872675,73663.51005,1.034699589,0.14953625,0.119067227,0.119067227,0.451474031,0.459872675,282179.6351,Off
281.3874231,316.887982,4041.362168,3900.030996,6728.730263,583724.9142,383410.4917,4847.308479,240.2857143,459.5,43.78571429,22.18181818,502.6260098,561.3243269,81116.32222,1.04172436,0.120160761,0.301990955,0.434168883,308600.6857,0.314207594,81116.32222,1.04172436,0.120160761,0.103805212,0.103805212,0.434168883,0.314207594,308600.6857,Off
204.9647206,258.4749271,2746.30999,2768.869318,3462.753097,337588.3546,242373.0257,2926.808468,453.25,591.6666667,6.333333333,29,580.6447654,568.4593213,77403.8061,1.004654148,0.079738493,0.343299403,0.510771254,296088.3827,0.226712156,39234.51034,1.019924414,0.292937214,0.267786021,0.267786021,0.283012201,0.958189029,203904.6118,H
292.99196,779.5218044,3757.310431,2520.354396,8084.490748,879280.4899,386930.3686,4139.449576,753,340.5,4.75,28.2,620.1198679,580.9311491,29413.1848,1.071460672,0.236940871,0.47683079,0.644439906,97388.65315,0.315997133,34490.68703,1.031190422,0.286297283,0.261122799,0.261122799,0.195755012,0.994329046,167327.2505,H
167.6941754,162.4562762,3465.018941,3630.031596,2921.90636,288207.8281,265289.0566,2809.381835,1188.5,474.8333333,19.11111111,8.6,458.7386014,534.176937,125838.6442,1.002841213,0.049276838,0.276335813,0.458930416,487133.476,0.219030097,125838.6442,1.002841213,0.049276838,0.040997786,0.040997786,0.458930416,0.219030097,487133.476,On
313.8494278,1034.664921,3873.155517,2401.048093,9843.297798,1073366.453,354867.0019,3758.908451,544.5,564,4.5,13.33333333,579.0463566,535.0607442,26095.90659,1.025817262,0.182966214,0.480529259,0.57314799,75757.54509,0.29367631,25621.16995,1.07305968,0.360525753,0.296265816,0.296265816,0.221953414,0.983611636,122480.8318,H
276.2369033,608.5374218,2636.309339,2088.971108,5543.063429,386695.3851,163131.0932,2951.319941,489.5,197,16,4.5,241.1281608,500.8991915,25601.53989,1.046124919,0.192390399,0.490390878,0.595523882,80041.0541,0.2108423,22395.0959,1.106093761,0.336752195,0.212561442,0.212561442,0.278946,0.904381458,112812.7081,H
337.6226823,710.2574889,3686.071429,2430.919328,6205.372489,532511.1506,360185.9729,4220.934351,307.75,140.25,5,38.70588235,772.7472951,556.2454494,23986.05265,1.08734325,0.331129036,0.517552964,0.660975031,73747.59488,0.428810965,28020.25418,1.039458949,0.297191489,0.287682072,0.287682072,0.246506853,0.998462856,139800.1279,H
257.3279757,430.781291,3285.720656,2567.106173,4469.210602,435341.6731,245971.6755,3043.710566,486.3333333,376,2.5,19,714.6963578,523.6792912,51306.08906,1.002773673,0.118551301,0.398300229,0.537052399,173741.4101,0.355488678,30521.5584,1.034532065,0.330718625,0.315481961,0.315481961,0.264945122,0.970950594,160339.6451,H
225.5862274,461.5790956,2289.007013,1922.249448,2272.159198,86660.48103,44032.36914,1420.84382,347.5,106.25,6,9,538.4316704,544.1553087,18547.86932,1.1228355,0.236474752,0.567489873,0.614381086,50511.97912,0.271389588,14996.2799,1.152495241,0.283097589,0.324383439,0.324383439,0.299211859,0.965636133,89104.23356,H
253.4024723,1067.256019,3386.007115,2143.886617,11372.17596,1265365.523,355523.0449,4107.602185,563.3333333,174.6666667,5,22.90909091,714.0204083,570.2245172,21622.53847,1.075586133,0.283823186,0.528457159,0.583432567,60063.11578,0.322756959,38477.1393,1.03269786,0.281521456,0.260097235,0.260097235,0.244368808,0.977080223,187362.3313,H
330.2402845,861.8761116,3917.349206,2879.388979,7830.528362,791798.6047,220162.2127,2946.200004,440.5,190,4.5,2,439.7335121,491.4926246,26088.04737,1.063862519,0.352774738,0.501794641,0.597861744,79000.42085,0.357646706,20781.84596,1.080243369,0.331111218,0.29931626,0.29931626,0.137935744,0.965636133,101108.0728,H
283.8823955,277.5939731,3720.334576,3800.927007,5222.561818,438601.1892,347901.1787,4946.474121,354.4,504.5,29.58333333,16.55555556,546.266967,564.1178955,88369.71001,1.035625651,0.149881373,0.270589292,0.417875537,339042.9223,0.487703231,88369.71001,1.035625651,0.149881373,0.114081162,0.114081162,0.417875537,0.487703231,339042.9223,Off
307.1595748,562.2801389,3798.133916,3297.233333,5976.261828,619046.0725,290647.7964,3473.182185,325.5,463,2,17,848.0337251,561.0962484,40453.51475,1.008124589,0.12599998,0.421690469,0.597732361,135021.3307,0.205592508,29517.36411,1.03219548,0.332897867,0.302827128,0.302827128,0.298647571,0.988530923,142389.3499,H
220.3005147,195.3901647,3993.238651,3680.677833,3401.079912,352279.2846,316643.6501,4194.755125,1066.5,856,13.125,19,487.7662301,550.1136246,112439.3233,0.999912495,0.068446631,0.274398246,0.478422592,432349.4114,0.223505159,112439.3233,0.999912495,0.068446631,0.055450224,0.055450224,0.478422592,0.223505159,432349.4114,Off
317.1596036,607.8631825,3767.899625,3111.922819,6280.362906,685540.0951,296198.6867,3475.33856,634.5,409,2,23.5,844.3234195,579.4730365,37427.92725,1.015263681,0.127919265,0.449370262,0.601298307,126170.4148,0.216396932,28361.6492,1.03899028,0.312752628,0.272683997,0.272683997,0.301463441,0.994907878,139836.9656,H
285.9254418,319.8074999,3846.737191,3860.041397,6608.202433,523968.3021,351348.6433,4877.599976,1616,465.5,38.4,23.125,540.7963695,552.0036232,81482.62597,1.046812234,0.154918702,0.259596793,0.380294377,309186.7721,0.439496987,81482.62597,1.046812234,0.154918702,0.110269361,0.110269361,0.380294377,0.439496987,309186.7721,Off
188.3860256,347.9953338,2699.876884,2158.997468,3189.904479,244021.3081,144199.0586,2272.850719,753.5,569,1,24.63636364,810.7944736,541.7056396,46848.50419,1.0188715,0.099340126,0.398270542,0.56985497,170191.4594,0.12565805,32883.38177,1.034294357,0.317087225,0.272831785,0.272831785,0.199236427,0.984463077,161997.7246,H
312.7812639,457.7129248,2192.93384,2267.827586,4778.293589,541180.9518,288607.9028,3415.535659,652.5,1146,1,6.333333333,572.1317119,579.1804555,44818.4611,1.016295047,0.098026707,0.387581955,0.572185583,158975.0814,0.176776697,23753.82024,1.023412846,0.316791672,0.3351331,0.3351331,0.290588915,0.95793245,136153.7695,H
159.503355,161.8262628,3454.203831,3927.385179,3416.342767,349749.3733,290517.389,3055.520195,1251,743.25,7.5,16.77777778,528.8372975,545.6738953,136618.9437,1.00319259,0.064567155,0.257626169,0.461388894,523763.6127,0.346584035,136618.9437,1.00319259,0.064567155,0.051165865,0.051165865,0.461388894,0.346584035,523763.6127,Off
230.9902717,446.6227421,3500.256993,2488.202037,4579.092366,475857.4534,240363.5088,2711.998729,542,278.5,1,41,473.6067019,545.6418239,50297.86712,1.002631226,0.094623097,0.403393375,0.454402726,172756.084,0.330887141,35836.74927,1.016106931,0.300637079,0.270424722,0.270424722,0.221393003,0.98415668,180841.183,H
177.2286549,200.6781935,3826.978385,3636.6317,3378.166552,333847.6394,245270.8009,2903.125636,1143,795.3333333,16.71428571,14.66666667,455.6823432,531.7978939,109097.5511,0.999197758,0.064991032,0.286322895,0.46149926,406906.4522,0.287216455,109097.5511,0.999197758,0.064991032,0.052297671,0.052297671,0.46149926,0.287216455,406906.4522,Off
339.074065,836.8656082,3838.969231,2894.632022,8282.970177,877337.3022,376638.9112,4353.858572,1295,164.75,4,21,847.6415846,580.8838094,30447.67176,1.030143881,0.135320444,0.478006302,0.546929695,94906.51349,0.319337387,28547.48918,1.029755668,0.341918163,0.330663895,0.330663895,0.277000556,0.989691118,145426.2423,H
134.9353329,166.0567288,3498.062422,3800.859112,3301.834214,337661.0487,280728.4926,2779.233358,922,2906,27.30769231,32.66666667,499.3193329,547.8366545,134835.5316,1.000679992,0.056914681,0.271442919,0.46747128,502588.0022,0.322030313,134835.5316,1.000679992,0.056914681,0.045296794,0.045296794,0.46747128,0.322030313,502588.0022,On
288.1647494,389.8068896,4036.681381,3927.419169,8956.347344,740806.399,370926.6178,4809.960719,243,1612,41.1875,19.66666667,537.9397209,576.1111004,72663.71234,1.046290031,0.149278326,0.286594794,0.459030638,270343.0827,0.40873891,72663.71234,1.046290031,0.149278326,0.121202742,0.121202742,0.459030638,0.40873891,270343.0827,Off
378.3997413,703.1105059,3947.8344,3158.022512,7164.116723,796613.1398,414914.007,4639.570668,1195,771,4,23.83333333,484.1365218,489.9112165,37650.40784,1.00211265,0.135158817,0.437275658,0.578594065,118598.4973,0.420809489,26418.99998,1.043285348,0.32523115,0.318673826,0.318673826,0.216168748,0.984239989,131680.7749,H
383.1879085,700.143672,3604.03125,2219.607143,6727.143955,670516.7414,274758.7359,3740.010249,336.3333333,350.5,3,4,673.0226969,536.3953766,31590.56778,1.028657415,0.162570325,0.478334598,0.634029818,99031.25278,0.360275056,22267.12967,1.039654897,0.376001786,0.376949938,0.376949938,0.22680648,0.984646827,107566.4436,H
344.9778198,535.5663634,3697.879239,2656.968032,5523.246744,554967.7799,277542.0523,3317.546528,1183,236,2,4.5,781.8657237,572.1581949,42823.11203,1.007387455,0.125660195,0.431810087,0.586290791,143171.3151,0.290715865,24541.4266,1.027120655,0.311668879,0.340378492,0.340378492,0.206209138,0.983149128,123963.1092,H
306.2469998,731.470941,3647.958033,2302.942529,6930.69581,754620.3946,349383.4096,3903.809231,473.6666667,749,5.333333333,19.66666667,777.6150736,587.8613782,31419.86245,1.046515421,0.207993099,0.468777746,0.608885476,104925.7743,0.239873825,33056.46129,1.03168553,0.302312989,0.269639923,0.269639923,0.269375318,0.999871757,160680.2068,H
204.9829469,169.2668612,3868.3473,3676.52194,3188.758469,316184.7968,257605.5902,3030.527788,675,691,13.77777778,20.75,473.2861953,536.5538184,120630.7049,1.007030657,0.058616953,0.283433502,0.469329297,464999.2669,0.24168256,120630.7049,1.007030657,0.058616953,0.046790945,0.046790945,0.469329297,0.24168256,464999.2669,Off
368.3346894,487.7489066,2632.385417,2623.743736,3800.503179,321018.418,145741.1887,2488.147374,425.5,289,1,13.2,585.7641629,543.0515629,33836.31112,1.025991955,0.168212092,0.431261365,0.583340608,114626.2733,0.273769169,16415.396,1.02894485,0.270890266,0.315081047,0.315081047,0.30130354,0.949938021,97135.9335,H
272.1932932,775.0235111,3766.170957,2775.69344,8039.316244,834561.6821,274715.3479,3258.126584,1411,342,4.5,5.333333333,895.9524471,563.0275304,32483.58436,1.021051978,0.158677876,0.475642114,0.62141702,103799.1481,0.363846998,33401.00352,1.03611793,0.291647193,0.233614851,0.233614851,0.232387065,0.988238511,155031.7043,H
296.4448388,1076.428584,3862.025136,2619.454545,9948.588218,1045129.397,330749.0334,3876.420744,694.5,519,5,3,918.2274026,591.6282617,22500.288,1.063479424,0.205291112,0.519143548,0.606816527,64830.91133,0.235193382,31913.27067,1.04573832,0.303354979,0.262259886,0.262259886,0.280402485,0.995844615,154721.0187,H
339.8145479,691.730886,3701.022762,2742.245011,7687.574854,907542.9932,381949.6824,4180.714264,626,209.5,5,21.125,750.5408215,576.9523377,38507.61365,1.004584023,0.171152927,0.430508439,0.578143865,127655.3177,0.400575543,27950.55513,1.041771978,0.334267518,0.298492989,0.298492989,0.278945844,0.99648599,143576.1156,H
277.102907,832.4763575,3760.393997,2768.498611,8086.679837,898603.9441,356343.7431,3922.522441,499.6666667,349.5,4.5,22,935.2418395,579.3254698,30078.2539,1.020033719,0.226055928,0.453914342,0.576326623,91885.83956,0.189278431,33161.12224,1.032635007,0.308595501,0.279303035,0.279303035,0.224044981,0.985228136,161855.9958,H
190.9865511,151.4470318,3921.402474,3865.063866,3142.706185,323496.0668,296836.5332,3564.746097,1111,1022.333333,26.75,15.85714286,530.416084,556.8213358,146288.5812,1.00052589,0.051917105,0.259112554,0.46418129,542534.6486,0.255242113,146288.5812,1.00052589,0.051917105,0.043129799,0.043129799,0.46418129,0.255242113,542534.6486,Off
324.1475608,1231.224971,3871.670352,2210.361111,11025.04505,1113709.988,399226.7037,4435.043702,691,160,4.5,25.71428571,713.3299722,515.8381529,20417.12106,1.085909555,0.240056414,0.547370993,0.59902089,55271.11757,0.337290067,29834.74842,1.029147622,0.319209333,0.289579966,0.289579966,0.274217382,0.992976887,152270.8019,H
276.3602628,797.4567144,3578.334783,2608.55305,7598.611036,785591.0832,317291.2123,3611.390355,301.8,360,5.333333333,25.66666667,572.1968427,570.5523639,32693.96201,1.017737197,0.177413724,0.460898428,0.59942272,101930.2505,0.24729444,32792.66699,1.03296843,0.323163665,0.310787068,0.310787068,0.240207599,0.999537622,166026.3322,H
176.8344543,509.1383542,3626.468151,2364.751678,2640.278298,111921.1764,131261.5036,2095.726964,752,205.5,4.5,23.30769231,694.3851923,564.3066542,18681.93568,1.08613443,0.23668362,0.57216409,0.591700709,48702.14239,0.453716339,34755.58273,1.019212736,0.268254863,0.200755972,0.200755972,0.253233157,0.964758949,171521.6904,H
364.8330703,729.7184561,3701.157526,2987.365183,7652.436473,842783.3667,261459.8824,3480.990487,396,358,3,20.25,429.1288093,476.0105041,32039.38598,1.022289595,0.266167496,0.464856243,0.585421389,100789.7561,0.303374836,18341.51144,1.092187344,0.308510318,0.194788326,0.194788326,0.202589107,0.969523583,92659.08699,H
189.0997106,227.7528538,3845.429445,3838.513158,3544.978638,367523.512,257917.5549,2805.310692,1079,734,8.75,21.6,480.3084112,541.2005174,98292.47231,1.002638093,0.057540518,0.30199418,0.470226194,360345.3548,0.255516794,98292.47231,1.002638093,0.057540518,0.050922594,0.050922594,0.470226194,0.255516794,360345.3548,On
205.4454761,417.4912428,3492.459971,2766.589391,3678.373696,283924.8631,123846.8864,2052.302602,639,314.3333333,16.33333333,23.4,472.7654285,481.750973,39593.24037,1.027791588,0.125351555,0.422258122,0.631892112,139704.2386,0.288538514,29480.25778,1.048243368,0.349055335,0.264765226,0.264765226,0.272378854,0.99107606,150315.299,H
168.5644929,176.5614188,3681.301339,3703.099123,3513.542092,356064.6357,300443.419,3132.18088,1214,1375,21.9,23.58333333,581.4520044,569.0834737,127378.5414,1.0004102,0.063641428,0.263372633,0.425229331,469945.9884,0.310287502,127378.5414,1.0004102,0.063641428,0.054056552,0.054056552,0.425229331,0.310287502,469945.9884,Off
160.4074126,407.4396336,3115.387114,2693.990225,3409.632305,267379.0226,130162.6572,1993.845517,347,491,6.5,24.81818182,721.5355499,559.5292664,41172.72631,1.023019173,0.086732777,0.422297205,0.61454896,143724.4187,0.194391858,40244.74893,1.034994084,0.249517692,0.206730522,0.206730522,0.248687819,0.995252549,190749.6,Off
348.5591212,832.5608723,3898.164655,2636.864139,7784.253122,763057.7678,283553.2855,3753.027706,377,198.6666667,3.5,23.71428571,690.1108518,583.928934,26905.39543,1.058442748,0.306822006,0.492675841,0.57872678,83024.25364,0.46377735,22623.85499,1.03012848,0.338398212,0.390461942,0.390461942,0.291939889,0.999943507,121931.319,Off
254.6022727,247.9236182,4057.932176,3986.374332,4387.141933,408934.3694,334095.5275,4149.858542,876.5,503,21.3,25.4,446.0209181,549.5634631,96658.21516,1.004867648,0.071754738,0.285800914,0.448726576,351454.2821,0.373609071,96658.21516,1.004867648,0.071754738,0.06215074,0.06215074,0.448726576,0.373609071,351454.2821,On
317.0763775,1035.230619,3841.91191,2410.629382,10526.62455,1144905.409,344249.2657,3879.046854,668.5,192,5,5,790.3527015,574.3953342,24710.0996,1.052121864,0.203785533,0.504623204,0.592828313,72663.39349,0.366578013,30490.0863,1.03619664,0.345949017,0.280010802,0.280010802,0.289074396,0.986479815,153237.052,H
323.7177483,508.1005659,3680.569489,2751.52233,5197.132702,515546.8635,255859.5951,3170.020229,396,244.75,7.25,3.5,775.5930311,582.635392,41243.5204,1.020854567,0.113316281,0.429325492,0.58935178,141588.6092,0.242292189,27015.74088,1.036251525,0.329021047,0.306771826,0.306771826,0.169706578,0.99995232,127272.7088,H
250.6542249,533.9973966,3169.967425,2158.356867,5357.235988,549167.2323,248061.2642,3182.051339,392.75,322.3333333,2,28.86666667,626.1339184,588.9864175,43368.22693,1.010195506,0.104952551,0.411475371,0.599000297,146853.1861,0.325082198,32994.22031,1.028423565,0.33136938,0.338482288,0.338482288,0.285183343,0.995938608,167440.5104,H
359.0436067,787.2565125,3596.009053,2208.377095,7609.767785,754094.3778,372210.1018,4211.327742,564,346,2,18,625.7139156,570.8528707,26832.78087,1.06040415,0.29083038,0.469143336,0.685822896,88634.31507,0.258018669,25724.07414,1.05490267,0.383212942,0.342213192,0.342213192,0.227611939,0.997502546,125566.8983,H
288.9940259,747.5838435,3327.67512,2112.053476,7159.352805,728043.6796,327356.8799,3715.938612,698.5,723,5,22.8,750.8148006,584.2473791,30209.40084,1.034667189,0.114452629,0.459708675,0.607663305,97476.31251,0.183122068,30075.87944,1.042036174,0.331977519,0.314626708,0.314626708,0.261205974,0.992048406,149825.4201,H
281.7707653,394.5477608,2697.00369,2158.222132,4046.180502,392570.1775,221528.4895,2797.825309,672.5,396.3333333,1,13.5,580.2973101,582.8353112,47552.19847,1.016746413,0.117047076,0.377038319,0.594646614,172870.7339,0.248322445,25205.82751,1.016654443,0.312036687,0.311351817,0.311351817,0.2699122,0.970064152,143447.0025,H
284.926103,337.1312474,2686.005324,2703.316614,2805.337222,233638.7464,130977.1473,2101.559847,560,418.3333333,3,9.25,606.0722096,579.0138168,49059.66154,1.018265571,0.105162365,0.377450179,0.580541338,180945.1933,0.118350011,20666.52924,1.026231164,0.33282749,0.373083699,0.373083699,0.308343958,0.984684157,118739.9829,H
269.5747476,501.4919381,3718.180698,2995.329535,5002.576103,474771.5651,241564.9238,2864.307908,469.6666667,485,3,15,591.9806324,583.3009515,45010.91728,1.009045108,0.124776425,0.424586196,0.572036497,152592.8975,0.358268639,30583.83619,1.034074014,0.319609029,0.292344086,0.292344086,0.271562423,0.979868757,153211.2554,H
318.6068535,415.4322404,1864.750603,2296.662975,4374.59764,450895.4303,242186.8159,2993.369059,617.5,416.3333333,4,4,637.7861706,593.506529,47796.94202,1.020944381,0.08188955,0.382046422,0.523112276,176582.7832,0.164379059,23577.73468,1.026745059,0.347054859,0.333283713,0.333283713,0.315249381,0.966985296,130426.7944,H
297.6008914,331.1039033,2390.917211,2935.115137,5938.581266,369942.0197,282540.693,3232.81333,221.6666667,409.25,14.85714286,12.2,630.9172545,578.6743471,67118.17743,1.035672101,0.094539686,0.35983378,0.527996848,249907.1572,0.412108716,27140.47392,1.012639875,0.30176241,0.28317553,0.28317553,0.207488325,0.975119065,145872.4467,H
193.5551737,163.0157575,3912.581366,3894.457857,3372.738187,348273.7728,299735.601,3432.594489,1125.5,740,28.11111111,7,491.7397009,549.8236081,131431.8473,1.005823302,0.06127665,0.272853286,0.459964533,512323.3289,0.292798677,131431.8473,1.005823302,0.06127665,0.049940053,0.049940053,0.459964533,0.292798677,512323.3289,Off
186.4681477,170.1117023,3453.365979,3354.82033,3384.128838,319202.393,259253.1794,2988.987298,1083,688.25,15.4,25.72727273,510.324644,563.7463969,126372.2581,1.003593082,0.058900303,0.271221387,0.45730137,474224.5016,0.335692056,126372.2581,1.003593082,0.058900303,0.052430166,0.052430166,0.45730137,0.335692056,474224.5016,Off
139.3005187,140.317367,3785.148148,3882.211924,3470.27354,333510.9444,272968.5631,2851.903302,680.25,639.2,27.2,16.5,558.5056384,572.5906042,154938.4372,1.014005656,0.057582085,0.260957957,0.475777145,589661.7636,0.433140678,154938.4372,1.014005656,0.057582085,0.045170251,0.045170251,0.475777145,0.433140678,589661.7636,Off
355.7964727,783.0153193,3613.229249,2928.058524,7545.169865,854855.5634,363822.9186,4264.855673,1204,189,2,27.25,829.9532711,559.6043245,34110.44288,1.009125816,0.171364242,0.44891101,0.549316792,106715.1349,0.297472249,26213.88768,1.029619927,0.354756124,0.344246486,0.344246486,0.193173347,0.972806322,130721.9569,H
305.6501939,293.9791273,3862.675031,3363.220608,7141.208044,618926.3516,405263.9922,5416.364665,392.75,2048,26.25,22.6,623.0112368,582.8353112,90846.41559,1.021736648,0.183322893,0.256194816,0.372749952,358742.1865,0.590029155,90846.41559,1.021736648,0.183322893,0.15422033,0.15422033,0.372749952,0.590029155,358742.1865,Off
160.0829827,188.4601409,3952.891764,3862.758703,3362.611021,364688.178,284865.2235,2965.923163,502.4,530.8,7,29.66666667,542.1555239,556.7854165,119658.0628,0.999888776,0.059622813,0.283568739,0.451756588,447654.554,0.387428405,119658.0628,0.999888776,0.059622813,0.048367901,0.048367901,0.451756588,0.387428405,447654.554,On
193.0104572,149.5620489,3908.814687,3928.776178,3131.406411,330628.7624,296178.9637,3244.427928,723.3333333,3031,27.42857143,29.3,471.6108535,546.0741708,144145.8895,0.999810897,0.05257818,0.25979006,0.470824271,548749.6428,0.303057701,144145.8895,0.999810897,0.05257818,0.045587286,0.045587286,0.470824271,0.303057701,548749.6428,Off
280.6361102,452.1315535,3722.242318,2680.31202,4814.017674,487347.108,248726.0017,2989.436736,694.5,367.3333333,1,4.666666667,793.0280646,552.4499977,48973.89519,1.00665631,0.140655312,0.407449743,0.530816512,169215.116,0.295560778,29284.56972,1.030231053,0.340688493,0.33394059,0.33394059,0.274423663,0.993859412,150292.9877,H
323.7041667,657.0750907,3866.569255,3015.40534,5812.635082,571875.0756,255309.6818,3131.902435,594.5,190.5,2,4.5,688.073767,524.3090692,37089.95017,1.00549448,0.18345761,0.445776606,0.62647898,116168.5676,0.428069629,26494.51055,1.041210591,0.304887222,0.296385348,0.296385348,0.188172561,0.999806133,129210.7814,H
303.7468037,748.9266567,3949.882507,3146.455791,7759.804406,888230.9216,372698.7174,4011.274724,485,741,5.5,32.36363636,794.1631368,580.5411269,35101.471,1.006296558,0.167359272,0.439922466,0.568053339,110978.7387,0.291818257,32014.86897,1.034391557,0.309295409,0.302157171,0.302157171,0.251892934,0.990837592,158428.5614,H
164.1986334,207.8530984,3857.980202,3785.69038,3602.944116,376503.791,251760.5387,2752.912763,751.3333333,619,6,20.76923077,541.1658727,555.1234097,113234.3637,1.010815096,0.061755524,0.299707748,0.473425301,418298.9975,0.295019629,113234.3637,1.010815096,0.061755524,0.057226863,0.057226863,0.473425301,0.295019629,418298.9975,Off
